"down","distance","pass","avg_yards_gained","avg_epa","count"
4,50,"1",0,0,0
4,50,"0",0,0,0
4,49,"1",0,0,0
4,49,"0",0,0,0
4,48,"1",0,0,0
4,48,"0",0,0,0
4,47,"1",0,0,0
4,47,"0",0,0,0
4,46,"1",0,0,0
4,46,"0",0,0,0
4,45,"1",0,0,0
4,45,"0",0,0,0
4,44,"1",0,0,0
4,44,"0",0,0,0
4,43,"1",0,0,0
4,43,"0",0,0,0
4,42,"1",0,0,0
4,42,"0",0,0,0
4,41,"1",0,0,0
4,41,"0",0,0,0
4,40,"1",0,0,0
4,40,"0",0,0,0
4,39,"1",0,0,0
4,39,"0",0,0,0
4,38,"1",0,0,0
4,38,"0",0,0,0
4,37,"1",0,0,0
4,37,"0",0,0,0
4,36,"1",0,0,0
4,36,"0",0,0,0
4,35,"1",0,0,0
4,35,"0",0,0,0
4,34,"1",0,0,0
4,34,"0",0,0,0
4,33,"1",0,0,0
4,33,"0",0,0,0
4,32,"0",0,0,0
4,31,"1",0,0,0
4,31,"0",0,0,0
4,30,"1",0,0,0
4,30,"0",0,0,0
4,29,"1",0,0,0
4,29,"0",0,0,0
4,28,"1",0,0,0
4,28,"0",0,0,0
4,27,"1",0,0,0
4,27,"0",0,0,0
4,26,"1",0,0,0
4,26,"0",0,0,0
4,25,"1",0,0,0
4,25,"0",0,0,0
4,24,"1",0,0,0
4,24,"0",0,0,0
4,23,"1",0,0,0
4,23,"0",0,0,0
4,22,"1",0,0,0
4,22,"0",0,0,0
4,21,"1",0,0,0
4,21,"0",0,0,0
4,20,"0",0,0,0
4,19,"1",0,0,0
4,19,"0",0,0,0
4,18,"1",0,0,0
4,18,"0",0,0,0
4,17,"1",0,0,0
4,17,"0",0,0,0
4,16,"0",0,0,0
4,15,"1",0,0,0
4,15,"0",0,0,0
4,14,"0",0,0,0
4,13,"1",0,0,0
4,11,"0",0,0,0
4,9,"0",0,0,0
4,6,"0",0,0,0
4,4,"0",0,0,0
3,50,"1",0,0,0
3,50,"0",0,0,0
3,49,"1",0,0,0
3,49,"0",0,0,0
3,48,"1",0,0,0
3,48,"0",0,0,0
3,47,"1",0,0,0
3,47,"0",0,0,0
3,46,"1",0,0,0
3,46,"0",0,0,0
3,45,"1",0,0,0
3,45,"0",0,0,0
3,44,"1",0,0,0
3,44,"0",0,0,0
3,43,"1",0,0,0
3,43,"0",0,0,0
3,42,"1",0,0,0
3,42,"0",0,0,0
3,41,"1",0,0,0
3,41,"0",0,0,0
3,40,"0",0,0,0
3,39,"1",0,0,0
3,39,"0",0,0,0
3,38,"1",0,0,0
3,38,"0",0,0,0
3,37,"1",0,0,0
3,37,"0",0,0,0
3,36,"0",0,0,0
3,35,"1",0,0,0
3,35,"0",0,0,0
3,34,"1",0,0,0
3,34,"0",0,0,0
3,33,"1",0,0,0
3,33,"0",0,0,0
3,32,"1",0,0,0
3,32,"0",0,0,0
3,31,"1",0,0,0
3,31,"0",0,0,0
3,30,"1",0,0,0
3,29,"1",0,0,0
3,25,"0",0,0,0
3,24,"1",0,0,0
2,50,"1",0,0,0
2,50,"0",0,0,0
2,49,"1",0,0,0
2,49,"0",0,0,0
2,48,"1",0,0,0
2,48,"0",0,0,0
2,47,"1",0,0,0
2,47,"0",0,0,0
2,46,"1",0,0,0
2,46,"0",0,0,0
2,45,"1",0,0,0
2,45,"0",0,0,0
2,44,"1",0,0,0
2,44,"0",0,0,0
2,43,"1",0,0,0
2,42,"1",0,0,0
2,42,"0",0,0,0
2,41,"1",0,0,0
2,41,"0",0,0,0
2,40,"1",0,0,0
2,40,"0",0,0,0
2,39,"1",0,0,0
2,39,"0",0,0,0
2,38,"1",0,0,0
2,38,"0",0,0,0
2,37,"1",0,0,0
2,37,"0",0,0,0
2,36,"1",0,0,0
2,36,"0",0,0,0
2,35,"1",0,0,0
2,35,"0",0,0,0
2,34,"1",0,0,0
2,34,"0",0,0,0
2,33,"1",0,0,0
2,33,"0",0,0,0
2,32,"0",0,0,0
2,31,"1",0,0,0
2,31,"0",0,0,0
2,30,"1",0,0,0
2,30,"0",0,0,0
2,29,"0",0,0,0
2,28,"0",0,0,0
2,27,"1",0,0,0
2,27,"0",0,0,0
2,26,"0",0,0,0
2,22,"0",0,0,0
1,50,"1",0,0,0
1,50,"0",0,0,0
1,49,"1",0,0,0
1,49,"0",0,0,0
1,48,"1",0,0,0
1,48,"0",0,0,0
1,47,"1",0,0,0
1,47,"0",0,0,0
